,id,author,summary_id,accuracy,relevance,creativity,specificity,feasibility,red_flags,id_summary,model,task_index,accuracy_summary,relevance_summary,novelty,specificity_summary,feasibility_summary,accuracy_adjusted,relevance_adjusted,creativity_adjusted,specificity_adjusted,feasibility_adjusted,red_flags_adjusted
133,23,Dyke,78,9,9,9,9,10,0,78,babyagi-gpt-4,2,7,8,7,9,6,0.8333333333333339,1.4666666666666668,2.0999999999999996,1.9000000000000004,1.9666666666666668,0.0
134,122,Clusmann,78,7,2,2,2,4,0,78,babyagi-gpt-4,2,7,8,7,9,6,1.0,-2.3,-1.7666666666666666,-1.4,-1.5333333333333332,-0.06666666666666667
135,228,Truhn,78,7,5,4,7,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,-0.8666666666666663,-1.4333333333333336,-0.2333333333333334,2.4333333333333336,-1.3666666666666663,0.0
136,327,Isabella,78,7,2,2,2,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,-1.7666666666666675,-4.333333333333333,-1.0666666666666669,-2.533333333333333,-0.09999999999999964,0.0
137,465,Schneider,78,9,9,8,8,7,0,78,babyagi-gpt-4,2,7,8,7,9,6,0.43333333333333357,1.9666666666666668,1.9333333333333336,1.7333333333333334,-0.6333333333333337,-0.06666666666666667
138,528,Kather,78,8,3,4,2,6,0,78,babyagi-gpt-4,2,7,8,7,9,6,1.4666666666666668,-1.2333333333333334,0.6000000000000001,-1.2333333333333334,1.5999999999999996,0.0
139,24,Dyke,97,10,10,10,10,10,1,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,1.5,2.0,2.3,2.0,1.6999999999999993,0.8
140,121,Clusmann,97,9,9,7,10,9,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,1.9000000000000004,2.0999999999999996,0.7000000000000002,4.1,2.3,0.0
141,229,Truhn,97,8,7,4,4,7,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,0.20000000000000018,-0.20000000000000018,-1.0,-1.5999999999999996,-0.5,0.0
142,334,Isabella,97,8,10,5,8,6,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,-1.6999999999999993,1.0,0.40000000000000036,0.20000000000000018,0.20000000000000018,0.0
143,434,Schneider,97,9,9,8,8,8,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,-0.1999999999999993,1.0999999999999996,1.0,0.7999999999999998,0.2999999999999998,0.0
144,530,Kather,97,8,8,5,10,9,0,97,cot-gpt-4-zero-shot-cot,2,9,10,7,10,8,0.7000000000000002,1.9000000000000004,0.40000000000000036,4.5,3.2,0.0
145,25,Dyke,38,9,9,8,7,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.5,0.9000000000000004,1.0999999999999996,-0.2999999999999998,-0.1999999999999993,-0.1
146,129,Clusmann,38,7,9,9,8,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,-0.5999999999999996,1.4000000000000004,2.3,1.9000000000000004,1.5999999999999996,0.0
147,223,Truhn,38,9,6,3,4,6,0,38,gpt-3.5-turbo,2,8,9,7,7,8,1.0,-0.7999999999999998,-2.5,-1.9000000000000004,-1.2000000000000002,0.0
148,325,Isabella,38,10,10,3,8,5,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.09999999999999964,1.0,-0.7000000000000002,0.7000000000000002,-1.4000000000000004,0.0
149,446,Schneider,38,8,8,7,6,8,0,38,gpt-3.5-turbo,2,8,9,7,7,8,-1.0999999999999996,-0.40000000000000036,-0.20000000000000018,-1.2999999999999998,0.09999999999999964,0.0
150,524,Kather,38,7,5,4,2,6,0,38,gpt-3.5-turbo,2,8,9,7,7,8,0.7000000000000002,-0.09999999999999964,-0.09999999999999964,-1.7999999999999998,0.9000000000000004,0.0
151,26,Dyke,30,8,7,8,9,8,0,30,camel-gpt4,2,8,9,7,9,7,0.09999999999999964,-0.2999999999999998,0.9000000000000004,1.5999999999999996,-0.3000000000000007,-0.1
152,128,Clusmann,30,7,9,9,8,8,0,30,camel-gpt4,2,8,9,7,9,7,-0.20000000000000018,2.0999999999999996,2.0999999999999996,1.9000000000000004,1.7999999999999998,0.0
153,227,Truhn,30,8,7,4,4,7,0,30,camel-gpt4,2,8,9,7,9,7,0.0,0.09999999999999964,-1.7999999999999998,-1.9000000000000004,0.2999999999999998,0.0
154,330,Isabella,30,10,10,4,8,6,0,30,camel-gpt4,2,8,9,7,9,7,0.0,0.5999999999999996,-0.7999999999999998,0.0,-0.2999999999999998,0.0
155,442,Schneider,30,10,9,7,9,8,0,30,camel-gpt4,2,8,9,7,9,7,0.6999999999999993,1.4000000000000004,-0.2999999999999998,1.5,0.09999999999999964,0.0
156,522,Kather,30,9,9,4,8,7,0,30,camel-gpt4,2,8,9,7,9,7,1.7999999999999998,3.0999999999999996,-1.2000000000000002,2.5999999999999996,1.7000000000000002,0.0
157,27,Dyke,75,8,7,7,8,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,-0.16666666666666607,-0.5333333333333332,0.09999999999999964,0.9000000000000004,-0.033333333333333215,0.0
158,124,Clusmann,75,7,7,5,5,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.0,2.7,1.2333333333333334,1.6,2.466666666666667,-0.06666666666666667
159,224,Truhn,75,9,8,4,5,7,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.1333333333333337,1.5666666666666664,-0.2333333333333334,0.43333333333333357,-0.36666666666666625,0.0
160,328,Isabella,75,10,3,2,2,10,0,75,babyagi-gpt-4,2,9,10,7,8,8,1.2333333333333325,-3.333333333333333,-1.0666666666666669,-2.533333333333333,3.9000000000000004,0.0
161,433,Schneider,75,9,9,7,7,8,0,75,babyagi-gpt-4,2,9,10,7,8,8,0.43333333333333357,1.9666666666666668,0.9333333333333336,0.7333333333333334,0.36666666666666625,-0.06666666666666667
162,525,Kather,75,7,5,5,4,4,0,75,babyagi-gpt-4,2,9,10,7,8,8,0.4666666666666668,0.7666666666666666,1.6,0.7666666666666666,-0.40000000000000036,0.0
163,28,Dyke,54,9,9,8,9,9,0,54,bard,2,9,10,8,9,9,0.5999999999999996,1.0999999999999996,0.7999999999999998,1.2000000000000002,0.40000000000000036,-0.3
164,130,Clusmann,54,9,9,9,8,7,0,54,bard,2,9,10,8,9,9,1.7272727272727275,2.8181818181818183,3.3636363636363633,2.1818181818181817,0.9090909090909092,-0.09090909090909091
165,225,Truhn,54,8,8,4,6,7,0,54,bard,2,9,10,8,9,9,0.09999999999999964,1.2999999999999998,-0.9000000000000004,0.2999999999999998,0.40000000000000036,0.0
166,326,Isabella,54,8,10,3,8,6,0,54,bard,2,9,10,8,9,9,-1.3000000000000007,1.4000000000000004,-0.3999999999999999,1.9000000000000004,0.40000000000000036,0.0
167,411,Schneider,54,7,9,8,8,9,0,54,bard,2,9,10,8,9,9,-1.875,0.375,0.5,0.5,0.375,-0.125
168,523,Kather,54,8,7,7,7,8,0,54,bard,2,9,10,8,9,9,1.0,0.7999999999999998,2.4000000000000004,1.9000000000000004,3.5,0.0
169,29,Dyke,6,6,8,7,7,8,0,6,llama-2-7b-chat,2,9,10,8,10,8,-2.4000000000000004,-0.5999999999999996,-0.40000000000000036,-0.7000000000000002,-0.3000000000000007,0.0
170,127,Clusmann,6,7,8,6,7,7,0,6,llama-2-7b-chat,2,9,10,8,10,8,-0.40000000000000036,0.20000000000000018,-0.2999999999999998,0.9000000000000004,0.5,0.0
171,222,Truhn,6,9,7,5,6,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,1.0,0.40000000000000036,0.20000000000000018,0.7999999999999998,-1.2000000000000002,0.0
172,332,Isabella,6,8,8,4,8,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,-1.5,-0.3000000000000007,-0.9000000000000004,0.7000000000000002,-0.5999999999999996,0.0
173,438,Schneider,6,10,8,7,7,8,0,6,llama-2-7b-chat,2,9,10,8,10,8,0.8000000000000007,0.5,0.5999999999999996,0.2999999999999998,0.40000000000000036,0.0
174,526,Kather,6,8,8,4,5,6,0,6,llama-2-7b-chat,2,9,10,8,10,8,1.4000000000000004,2.4000000000000004,-0.5999999999999996,0.40000000000000036,1.4000000000000004,0.0
175,30,Dyke,48,8,7,7,8,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.1999999999999993,-0.5999999999999996,-0.40000000000000036,0.40000000000000036,0.0,-0.1
176,123,Clusmann,48,7,8,4,6,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.20000000000000018,0.7999999999999998,-2.0999999999999996,-0.20000000000000018,1.4000000000000004,0.0
177,226,Truhn,48,8,7,3,6,7,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-0.1999999999999993,0.09999999999999964,-1.9000000000000004,0.40000000000000036,-0.40000000000000036,0.0
178,331,Isabella,48,10,10,3,7,6,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,0.3000000000000007,1.0999999999999996,-1.2000000000000002,-0.20000000000000018,-0.20000000000000018,0.0
179,414,Schneider,48,8,7,5,6,8,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,-1.3636363636363633,-0.8181818181818183,-1.9090909090909092,-1.6363636363636367,-0.18181818181818166,0.0
180,531,Kather,48,8,6,5,6,6,0,48,cot-gpt-4-manual-cot,2,9,9,7,8,8,0.7999999999999998,0.7999999999999998,0.5,2.0,1.5999999999999996,0.0
181,31,Dyke,18,8,7,6,8,7,0,18,gpt-4,2,8,9,7,9,8,0.2999999999999998,-1.1999999999999993,-1.5999999999999996,-0.1999999999999993,-1.4000000000000004,-0.2
182,126,Clusmann,18,8,9,5,8,7,0,18,gpt-4,2,8,9,7,9,8,1.0,1.0999999999999996,-1.7000000000000002,1.2999999999999998,0.5,-0.1
183,231,Truhn,18,9,7,4,7,8,0,18,gpt-4,2,8,9,7,9,8,1.0,-0.20000000000000018,-1.2999999999999998,0.7999999999999998,0.7000000000000002,0.0
184,333,Isabella,18,10,10,3,9,6,0,18,gpt-4,2,8,9,7,9,8,0.3000000000000007,1.5999999999999996,-1.2999999999999998,1.2000000000000002,0.2999999999999998,0.0
185,469,Schneider,18,8,6,6,7,8,0,18,gpt-4,2,8,9,7,9,8,-1.0,-2.2727272727272734,-1.2727272727272725,-0.8181818181818183,-0.3636363636363633,-0.09090909090909091
186,527,Kather,18,7,7,6,5,5,0,18,gpt-4,2,8,9,7,9,8,-0.2999999999999998,0.9000000000000004,1.0,0.7000000000000002,0.40000000000000036,0.0
187,32,Dyke,63,7,8,8,7,7,0,63,babyagi-gpt-4,2,8,9,7,9,7,-1.166666666666666,0.4666666666666668,1.0999999999999996,-0.09999999999999964,-1.0333333333333332,0.0
188,125,Clusmann,63,6,4,2,2,6,0,63,babyagi-gpt-4,2,8,9,7,9,7,0.0,-0.2999999999999998,-1.7666666666666666,-1.4,0.4666666666666668,-0.06666666666666667
189,230,Truhn,63,7,4,2,2,6,0,63,babyagi-gpt-4,2,8,9,7,9,7,-0.8666666666666663,-2.4333333333333336,-2.2333333333333334,-2.5666666666666664,-1.3666666666666663,0.0
190,329,Isabella,63,7,3,1,1,7,0,63,babyagi-gpt-4,2,8,9,7,9,7,-1.7666666666666675,-3.333333333333333,-2.066666666666667,-3.533333333333333,0.9000000000000004,0.0
191,406,Schneider,63,8,8,7,8,10,0,63,babyagi-gpt-4,2,8,9,7,9,7,-0.5666666666666664,0.9666666666666668,0.9333333333333336,1.7333333333333334,2.3666666666666663,-0.06666666666666667
192,529,Kather,63,7,2,1,1,4,0,63,babyagi-gpt-4,2,8,9,7,9,7,0.4666666666666668,-2.2333333333333334,-2.4,-2.2333333333333334,-0.40000000000000036,0.0
