,id,author,summary_id,accuracy,relevance,creativity,specificity,feasibility,red_flags,id_summary,model,task_index,accuracy_summary,relevance_summary,novelty,specificity_summary,feasibility_summary,accuracy_adjusted,relevance_adjusted,creativity_adjusted,specificity_adjusted,feasibility_adjusted,red_flags_adjusted
6,2,Dyke,14,10,9,9,9,10,0,14,gpt-4,1,10,9,9,10,10,2.3,0.8000000000000007,1.4000000000000004,0.8000000000000007,1.5999999999999996,-0.2
7,103,Clusmann,14,8,9,8,7,8,0,14,gpt-4,1,10,9,9,10,10,1.0,1.0999999999999996,1.2999999999999998,0.2999999999999998,1.5,-0.1
8,206,Truhn,14,7,7,6,6,7,0,14,gpt-4,1,10,9,9,10,10,-1.0,-0.20000000000000018,0.7000000000000002,-0.20000000000000018,-0.2999999999999998,0.0
9,302,Schneider,14,10,10,10,10,10,0,14,gpt-4,1,10,9,9,10,10,1.0,1.7272727272727266,2.7272727272727275,2.1818181818181817,1.6363636363636367,-0.09090909090909091
10,309,Isabella,14,8,8,3,8,9,0,14,gpt-4,1,10,9,9,10,10,-1.6999999999999993,-0.40000000000000036,-1.2999999999999998,0.20000000000000018,3.3,0.0
11,478,Schneider,14,9,8,9,9,9,0,14,gpt-4,1,10,9,9,10,10,0.0,-0.2727272727272734,1.7272727272727275,1.1818181818181817,0.6363636363636367,-0.09090909090909091
12,510,Kather,14,8,9,9,8,8,0,14,gpt-4,1,10,9,9,10,10,0.7000000000000002,2.9000000000000004,4.0,3.7,3.4000000000000004,0.0
13,3,Dyke,33,8,9,7,7,8,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-0.5,0.9000000000000004,0.09999999999999964,-0.2999999999999998,-0.1999999999999993,-0.1
14,109,Clusmann,33,8,8,9,8,9,0,33,gpt-3.5-turbo,1,9,9,8,9,9,0.40000000000000036,0.40000000000000036,2.3,1.9000000000000004,2.5999999999999996,0.0
15,207,Truhn,33,7,6,5,7,6,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-1.0,-0.7999999999999998,-0.5,1.0999999999999996,-1.2000000000000002,0.0
16,314,Isabella,33,10,9,2,7,9,0,33,gpt-3.5-turbo,1,9,9,8,9,9,0.09999999999999964,0.0,-1.7000000000000002,-0.2999999999999998,2.5999999999999996,0.0
17,481,Schneider,33,9,8,7,8,7,0,33,gpt-3.5-turbo,1,9,9,8,9,9,-0.09999999999999964,-0.40000000000000036,-0.20000000000000018,0.7000000000000002,-0.9000000000000004,0.0
18,509,Kather,33,9,6,7,8,7,0,33,gpt-3.5-turbo,1,9,9,8,9,9,2.7,0.9000000000000004,2.9000000000000004,4.2,1.9000000000000004,0.0
25,5,Dyke,93,9,8,7,8,7,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.5,0.0,-0.7000000000000002,0.0,-1.3000000000000007,-0.2
26,110,Clusmann,93,8,9,7,8,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.9000000000000004,2.0999999999999996,0.7000000000000002,2.0999999999999996,1.2999999999999998,0.0
27,210,Truhn,93,8,6,6,6,7,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.20000000000000018,-1.2000000000000002,1.0,0.40000000000000036,-0.5,0.0
28,313,Isabella,93,10,7,2,3,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.3000000000000007,-2.0,-2.5999999999999996,-4.8,2.2,0.0
29,490,Schneider,93,10,7,7,8,8,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,0.8000000000000007,-0.9000000000000004,0.0,0.7999999999999998,0.2999999999999998,0.0
30,506,Kather,93,7,5,6,3,3,0,93,cot-gpt-4-zero-shot-cot,1,10,9,8,10,9,-0.2999999999999998,-1.0999999999999996,1.4000000000000004,-2.5,-2.8,0.0
31,6,Dyke,73,8,7,7,6,9,0,73,babyagi-gpt-4,1,8,9,7,8,8,-0.16666666666666607,-0.5333333333333332,0.09999999999999964,-1.0999999999999996,0.9666666666666668,0.0
32,108,Clusmann,73,6,5,3,3,5,0,73,babyagi-gpt-4,1,8,9,7,8,8,0.0,0.7000000000000002,-0.7666666666666666,-0.3999999999999999,-0.5333333333333332,-0.06666666666666667
33,203,Truhn,73,8,5,2,3,6,0,73,babyagi-gpt-4,1,8,9,7,8,8,0.13333333333333375,-1.4333333333333336,-2.2333333333333334,-1.5666666666666664,-1.3666666666666663,0.0
34,311,Isabella,73,7,7,2,4,6,0,73,babyagi-gpt-4,1,8,9,7,8,8,-1.7666666666666675,0.666666666666667,-1.0666666666666669,-0.5333333333333332,-0.09999999999999964,0.0
35,459,Schneider,73,7,7,5,5,7,0,73,babyagi-gpt-4,1,8,9,7,8,8,-1.5666666666666664,-0.033333333333333215,-1.0666666666666664,-1.2666666666666666,-0.6333333333333337,-0.06666666666666667
36,505,Kather,73,10,9,8,10,9,0,73,babyagi-gpt-4,1,8,9,7,8,8,3.466666666666667,4.766666666666667,4.6,6.766666666666667,4.6,0.0
37,7,Dyke,7,9,10,8,9,9,0,7,llama-2-7b-chat,1,9,9,8,9,8,0.5999999999999996,1.4000000000000004,0.5999999999999996,1.2999999999999998,0.6999999999999993,0.0
38,106,Clusmann,7,7,7,4,6,7,0,7,llama-2-7b-chat,1,9,9,8,9,8,-0.40000000000000036,-0.7999999999999998,-2.3,-0.09999999999999964,0.5,0.0
39,204,Truhn,7,7,6,3,3,7,0,7,llama-2-7b-chat,1,9,9,8,9,8,-1.0,-0.5999999999999996,-1.7999999999999998,-2.2,-0.20000000000000018,0.0
40,306,Isabella,7,10,8,3,6,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,0.5,-0.3000000000000007,-1.9000000000000004,-1.2999999999999998,1.4000000000000004,0.0
41,477,Schneider,7,9,7,7,8,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,-0.1999999999999993,-0.5,0.5999999999999996,1.2999999999999998,0.40000000000000036,0.0
42,508,Kather,7,10,8,7,8,8,0,7,llama-2-7b-chat,1,9,9,8,9,8,3.4000000000000004,2.4000000000000004,2.4000000000000004,3.4000000000000004,3.4000000000000004,0.0
43,8,Dyke,49,8,7,8,8,8,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,-0.1999999999999993,-0.5999999999999996,0.5999999999999996,0.40000000000000036,0.0,-0.1
44,102,Clusmann,49,9,7,9,8,9,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,1.7999999999999998,-0.20000000000000018,2.9000000000000004,1.7999999999999998,2.4000000000000004,0.0
45,205,Truhn,49,8,6,3,3,8,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,-0.1999999999999993,-0.9000000000000004,-1.9000000000000004,-2.5999999999999996,0.5999999999999996,0.0
46,305,Isabella,49,10,10,3,8,10,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,0.3000000000000007,1.0999999999999996,-1.2000000000000002,0.7999999999999998,3.8,0.0
47,497,Schneider,49,10,6,5,6,7,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,0.6363636363636367,-1.8181818181818183,-1.9090909090909092,-1.6363636363636367,-1.1818181818181817,0.0
48,504,Kather,49,10,9,6,5,6,0,49,cot-gpt-4-manual-cot,1,10,9,8,9,9,2.8,3.8,1.5,1.0,1.5999999999999996,0.0
49,9,Dyke,87,9,6,5,5,6,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.8333333333333339,-1.5333333333333332,-1.9000000000000004,-2.0999999999999996,-2.033333333333333,0.0
50,104,Clusmann,87,6,4,4,4,8,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.0,-0.2999999999999998,0.2333333333333334,0.6000000000000001,2.466666666666667,-0.06666666666666667
51,208,Truhn,87,8,6,3,3,7,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.13333333333333375,-0.43333333333333357,-1.2333333333333334,-1.5666666666666664,-0.36666666666666625,0.0
52,310,Isabella,87,10,10,3,10,10,0,87,babyagi-gpt-4,1,10,9,9,10,8,1.2333333333333325,3.666666666666667,-0.06666666666666687,5.466666666666667,3.9000000000000004,0.0
53,479,Schneider,87,9,7,6,6,8,0,87,babyagi-gpt-4,1,10,9,9,10,8,0.43333333333333357,-0.033333333333333215,-0.06666666666666643,-0.2666666666666666,0.36666666666666625,-0.06666666666666667
54,511,Kather,87,8,5,3,3,7,0,87,babyagi-gpt-4,1,10,9,9,10,8,1.4666666666666668,0.7666666666666666,-0.3999999999999999,-0.2333333333333334,2.5999999999999996,0.0
55,10,Dyke,67,8,8,8,9,8,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.16666666666666607,0.4666666666666668,1.0999999999999996,1.9000000000000004,-0.033333333333333215,0.0
56,107,Clusmann,67,7,8,4,5,6,0,67,babyagi-gpt-4,1,8,8,7,7,7,1.0,3.7,0.2333333333333334,1.6,0.4666666666666668,-0.06666666666666667
57,211,Truhn,67,6,6,3,3,7,0,67,babyagi-gpt-4,1,8,8,7,7,7,-1.8666666666666663,-0.43333333333333357,-1.2333333333333334,-1.5666666666666664,-0.36666666666666625,0.0
58,308,Isabella,67,8,8,3,8,9,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.7666666666666675,1.666666666666667,-0.06666666666666687,3.466666666666667,2.9000000000000004,0.0
59,431,Schneider,67,9,8,6,6,8,0,67,babyagi-gpt-4,1,8,8,7,7,7,0.43333333333333357,0.9666666666666668,-0.06666666666666643,-0.2666666666666666,0.36666666666666625,-0.06666666666666667
60,507,Kather,67,6,4,4,3,3,0,67,babyagi-gpt-4,1,8,8,7,7,7,-0.5333333333333332,-0.2333333333333334,0.6000000000000001,-0.2333333333333334,-1.4000000000000004,0.0
61,11,Dyke,57,8,7,6,8,9,0,57,bard,1,10,9,8,10,9,-0.40000000000000036,-0.9000000000000004,-1.2000000000000002,0.20000000000000018,0.40000000000000036,-0.3
62,101,Clusmann,57,8,6,6,6,8,0,57,bard,1,10,9,8,10,9,0.7272727272727275,-0.18181818181818166,0.3636363636363633,0.18181818181818166,1.9090909090909092,-0.09090909090909091
63,212,Truhn,57,7,6,5,5,7,0,57,bard,1,10,9,8,10,9,-0.9000000000000004,-0.7000000000000002,0.09999999999999964,-0.7000000000000002,0.40000000000000036,0.0
64,312,Isabella,57,10,8,3,5,7,0,57,bard,1,10,9,8,10,9,0.6999999999999993,-0.5999999999999996,-0.3999999999999999,-1.0999999999999996,1.4000000000000004,0.0
65,424,Schneider,57,10,9,8,8,10,0,57,bard,1,10,9,8,10,9,1.125,0.375,0.5,0.5,1.375,-0.125
